GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
3552.4714781516345,3617.863773,74655.3,20.425081597222224,11121.412969334691,0.0044126497578383,0.0,36055.0,-1.0,32.5,24.3,0.0,29.2,25.6,0.2,29.5,24.6,5.4,29.4,23.0,-1.0,31.2,25.8
3239.25408,3315.416701,99610.0,21.046606944444445,10286.684695505615,990.396815718633,0.0,33450.0,-1.0,32.4,23.0,0.0,28.8,25.1,8.5,30.3,21.9,1.8,29.0,24.4,2.8,30.2,26.4
5552.535804317286,5731.442154,92082.96,1417.4080100694446,9077.71688763526,0.0017363486408023,358.2060290314401,37280.0,17.6,32.5,25.0,1.5,30.3,25.3,8.5,30.4,24.1,4.4,29.4,24.5,0.0,30.5,26.6
5795.026757500357,5954.338343,84553.84,1730.8170357638887,8988.441362594345,631.354836927603,5.625202541959156e-06,38317.0,6.8,32.2,23.0,0.0,28.9,25.4,0.1,30.2,24.3,1.6,28.0,24.2,1.1,29.8,25.9
7983.214386285362,8174.112171,106110.1,3437.614893402778,8170.107201813725,0.0013876820728291,13.664941081663924,37695.0,0.0,32.5,23.8,0.0,30.0,25.5,0.0,30.4,25.2,5.2,27.0,22.2,5.8,28.8,24.2
5900.313166908084,6119.666302,75071.21,1628.769989220578,6284.144596743212,0.0012658578856152,2.0242734340191153,37602.0,0.5,32.0,24.0,0.0,29.0,25.8,0.2,29.6,25.2,10.8,26.0,22.6,8.0,28.1,24.7
6797.399408008697,6988.386191,87362.12,2387.885339930556,10226.120787052849,103.42649252032518,256.7222539020914,37926.0,46.1,29.5,24.4,0.0,29.0,25.6,96.7,30.2,23.5,14.0,26.0,23.2,0.2,29.8,25.9
4441.808672612384,4474.871829,51978.3,469.53233090277786,9922.028216894872,211.13923073093457,0.0,36307.0,20.6,28.2,23.8,0.0,27.6,24.8,42.4,25.5,21.4,10.4,26.2,23.8,0.0,30.4,25.3
4017.540991,4118.038038,82531.66,875.9458129042115,8111.691234152511,481.05261181182993,0.0,33768.0,4.0,31.1,24.0,0.0,29.0,25.2,2.1,30.5,22.8,1.6,29.0,24.4,0.0,30.8,25.6
5856.011205104627,6087.506398,69432.59,1702.0698559027778,7682.530486064577,0.0034898298217179,9.179345289950386e-05,38044.0,-1.0,31.5,22.2,0.0,30.4,25.7,0.0,31.4,21.7,-1.0,30.6,23.4,0.0,30.6,25.0
4280.102814,4390.957003,46644.73,570.6646954861111,6675.276749198311,389.42563772855135,3.990984103607626e-05,38785.0,0.0,31.4,22.2,0.0,30.2,25.5,0.0,30.6,22.0,0.0,28.4,24.8,-1.0,30.5,25.4
4630.061887997752,4755.711792,56975.96,651.2830961805555,5958.81431430691,123.35847255649712,5.9105869998851454e-05,38985.0,0.0,32.0,22.0,0.0,29.2,25.6,0.2,30.6,22.6,0.0,30.0,23.0,0.0,30.7,25.1
7254.434761429096,7624.445536,23390.51,2892.8460232638886,9792.626259394276,229.16275216045565,9.84000784598921e-05,39025.0,0.0,33.8,25.0,0.0,30.0,25.8,0.0,31.2,21.7,0.8,30.0,23.0,0.0,30.0,24.4
11671.796221665743,12137.03937,37829.2,6944.572695538872,6865.110992505919,0.0029519403788662,1349.5316478625296,38524.0,1.4,32.2,24.2,0.0,29.8,25.4,9.6,30.5,23.8,1.4,29.0,23.6,0.2,29.2,24.9
6860.060471032687,7132.58248,28457.19,3005.6325677083337,12061.167390191496,492.38183009352053,50.86961856096908,36921.0,0.1,34.0,24.2,3.0,29.5,25.5,6.5,31.5,23.7,3.4,28.0,23.4,0.7,30.6,25.7
6039.895505529885,6085.368111,22692.33,2627.3828587686316,5552.706473532433,150.14413670886077,0.0,35340.0,2.5,34.0,24.1,7.5,30.8,24.1,4.3,30.7,24.6,8.6,28.6,22.8,10.2,31.0,24.7
